№,Код,Полное название ОО,Короткое название ОО,уровень образовательной программы,АТЕ,МСУ,is_urban
431,255025,"Филиал муниципального бюджетного общеобразовательного учреждения "" Альдермышская средняя общеобразовательная школа Высокогорского муниципального района Республики Татарстан"" -""Инсинская начальная общеобразовательная школа"" ","Филиал муниципального бюджетного общеобразовательного учреждения "" Альдермышская средняя общеобразовательная школа Высокогорского муниципального района РТ"" -""Инсинская начальная общеобразовательная школа"" ",3,25,25,0
432,256025,"Филиал муниципального бюджетного общеобразовательного учреждения "" Альдермышская средняя общеобразовательная школа Высокогорского муниципального района Республики Татарстан"" - ""Саинская начальная общеобразовательная школа""",филиал МБОУ «Альдермышская СОШ» - «Саинская НОШ»,1,25,25,0
433,256026,"Муниципальное бюджетное общеобразовательное учреждение ""Высокогорская средняя общеобразовательная школа №6 имени Х.Габаши Высокогорского муниципального района Республики Татарстан""","МБОУ ""ВСОШ №6 имени Х.Габаши""",3,25,25,0
434,256027,"Муниципальное бюджетное общеобразовательное учреждение ""Чернышевская средняя общеобразовательная школа им. Е.А. Боратынского Высокогорского муниципального района Республики Татарстан""","МБОУ ""Чернышевская СОШ им. Е.А. Боратынского""",3,25,25,0
435,261001,Муниципальное автономное общеобразовательное учреждение города Набережные Челны «Средняя общеобразовательная школа №1»,"МАОУ ""Средняя общеобразовательная школа №1""",3,26,26,1
436,261005,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа №5»,"МБОУ ""Средняя общеобразовательная школа №5",3,26,26,1
437,261006,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №6""","МБОУ ""Средняя школа №6""",3,26,26,1
438,261007,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №7""","МБОУ ""Средняя школа №7""",3,26,26,1
439,261008,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №8""","МБОУ ""СОШ №8""",3,26,26,1
440,261009,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №9""",МБОУ «Средняя школа №9»,3,26,26,1
441,261010,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа №10»,"МБОУ ""СОШ №10""",3,26,26,1
442,261011,муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа №11»,"МБОУ ""Средняя школа №11""",3,26,26,1
443,261013,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 13»,"МБОУ ""Средняя школа №13""",3,26,26,1
444,261015,"Муниципальное автономное общеобразовательное учреждение города Набережные Челны ""Средняя общеобразовательная школа№15""","МАОУ ""СОШ15 """,3,26,26,1
445,261016,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа ""Центр образования №16""","МБОУ ""Центр образования №16""",3,26,26,1
446,261017,"Муниципальное автономное общеобразовательное учреждение города Набережные Челны ""Средняя общеобразовательная школа № 17"" Республики Татарстан","МАОУ ""Средняя общеобразовательная школа № 17""",3,26,26,1
447,261019,"муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №19 с углубленным изучением отдельных предметов""","МБОУ ""Средняя общеобразовательная школа №19 с углубленным изучением отдельных предметов""",3,26,26,1
448,261020,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №20""","МБОУ ""СОШ № 20""",3,26,26,1
449,261021,"Муниципальное автономное общеобразовательное учреждение города Набережные Челны ""Средняя общеобразовательная школа №21""","МАОУ ""СОШ № 21""",3,26,26,1
450,261022,"Муниципальное бюджетное общеобразовательное учреждение""Средняя общеобразовательная школа № 22""","МБОУ""СОШ№22""",3,26,26,1
451,261023,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №23""","МБОУ ""Средняя школа №23""",3,26,26,1
452,261024,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №24 с углубленным изучением отдельных предметов""","МБОУ ""СОШ №24 УИОП""",3,26,26,1
453,261025,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №25""","МБОУ ""Средняя школа №25""",3,26,26,1
454,261026,"Муниципальное бюджетное общеобразовательное учреждение ""Гимназия №26""","МБОУ ""Гимназия №26""",3,26,26,1
455,261027,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №27""","МБОУ ""СОШ №27""",3,26,26,1
456,261028,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа №28»,"МБОУ ""Средняя школа №28""",3,26,26,1
457,261030,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа № 30""","МБОУ ""Средняя общеобразовательная школа № 30""",3,26,26,1
