№,Код,Полное название ОО,Короткое название ОО,уровень образовательной программы,АТЕ,МСУ,is_urban
1,101001,Муниципальное общеобразовательное учреждение гимназия №1 города Агрыз Агрызского муниципального района Республики Татарстан,МОУ гимназия №1 города Агрыз Агрызского муниципального района РТ,3,10,10,1
2,101002,Муниципальное общеобразовательное учреждение общеобразовательная организация №2 города Агрыз Агрызского муниципального района Республики Татарстан,МОУ общеобразовательная организация №2 города Агрыз Агрызского муниципального района РТ,3,10,10,1
3,101003,Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №3 имени Тази Гиззата г. Агрыз Агрызского муниципального района Республики Татарстан,МБОУ средняя общеобразовательная школа №3 имени Тази Гиззата г. Агрыз,3,10,10,1
4,101004,Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №4 города Агрыз Агрызского муниципального района Республики Татарстан,Средняя общеобразовательная школа №4 города Агрыз,3,10,10,1
5,102005,Муниципальное общеобразовательное учреждение Азевская основная общеобразовательная школа Агрызского муниципального района Республики Татарстан,"МБОУ ""Азевская ООШ АМР РТ""",2,10,10,0
6,102006,Муниципальное общеобразовательное учреждение Бимская средняя общеобразовательная школа Агрызского муниципального района Республики Татарстан,МБОУ Бимская СОШ Агрызского района РТ,2,10,10,0
7,102013,Муниципальное бюджетное общеобразовательное учреждение Красноборская средняя общеобразовательная школа Агрызского муниципального района Республики Татарстан,МБОУ Красноборская средняя общеобразовательная школа,3,10,10,0
8,102015,Муниципальное общеобразовательное учреждение Кулегашская начальная школа детский сад Агрызского муниципального района Республики Татарстан,МОУ Кулегашская начальная школа детский сад Агрызского муниципального района РТ,3,10,10,0
9,102017,Муниципальное общеобразовательное учреждение Сарсак-Омгинский лицей Агрызского муниципального района Республики Татарстан,МОУ Сарсак-Омгинский лицей Агрызского муниципального района РТ,3,10,10,0
10,104007,"Муниципальное бюджетное общеобразовательное учреждение ""Девятернинская основная общеобразовательная школа имени Лябиба Айтуганова Агрызского муниципального района Республики Татарстан""","МБОУ "" Девятернинская ООШ им.Л.Айтуганова АМР РТ""",2,10,10,0
11,104008,Муниципальное общеобразовательное учреждение Иж-Бобьинская средняя общеобразовательная школа Агрызского муниципального района Республики Татарстан,МОУ Иж-Бобьинская средняя общеобразовательная школа Агрызского муниципального района РТ,3,10,10,0
12,104009,Муниципальное общеобразовательное учреждение Исенбаевская средняя общеобразовательная школа Агрызского муниципального района Республики Татарстан,МОУ Исенбаевская средняя общеобразовательная школа Агрызского муниципального района РТ,3,10,10,0
13,104011,Муниципальное общеобразовательное учреждение Кадыбашская средняя общеобразовательная школа Агрызского муниципального района Республики Татарстан,МОУ Кадыбашская средняя общеобразовательная школа Агрызского муниципального района РТ,3,10,10,0
14,104012,Муниципальное общеобразовательное учреждение Кичкетанская общеобразовательная школа Агрызского муниципального района Республики Татарстан,МБОУ Кичкетанская СОШ Агрызского района,3,10,10,0
15,104016,Муниципальное общеобразовательное учреждение Кучуковская общеобразовательная школа Агрызского муниципального района Республики Татарстан,МОУ Кучуковская общеобразовательная школа Агрызского муниципального района РТ,3,10,10,0
16,104018,Муниципальное общеобразовательное учреждение Салаушская средняя общеобразовательная школа Агрызского муниципального района Республики Татарстан,МОУ Салаушская средняя общеобразовательная школа Агрызского муниципального района РТ,3,10,10,0
17,104020,Муниципальное общеобразовательное учреждение Терсинская средняя общеобразовательная школа Агрызского муниципального района Республики Татарстан,МОУ Терсинская средняя общеобразовательная школа Агрызского муниципального района РТ,3,10,10,0
18,104021,"Муниципальное бюджетное общеобразовательное учреждение ""Шаршадинская начальная школа - детский сад"" Агрызского муниципального района Республики Татарстан","МБОУ ""Шаршадинская начальная школа-детский сад""",1,10,10,0
19,104022,Муниципальное бюджетное общеобразовательное учреждение «Крындинская начальная школа-детский сад» Агрызского муниципального района Республики Татарстан,"Крындинская начальная школа-детский сад""",1,10,10,0
20,111002,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная №2 города Азнакаево» Азнакаевского муниципального района Республики Татарстан,МБОУ «СОШ №2 г.Азнакаево» Азнакаевского муниципального района РТ,3,11,11,1
21,111003,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №3 города Азнакаево» Азнакаевского муниципального района Республики Татарстан","МБОУ ""СОШ №3 г.Азнакаево"" Азнакаевского муниципального района РТ",3,11,11,1
22,111004,Муниципальное бюджетное общеобразовательное учреждение «Лицей №4 города Азнакаево» Азнакаевского муниципального района Республики Татарстан«Лицей № 4 г.Азнакаево»,МБОУ «Лицей № 4 г.Азнакаево» АМР РТ,3,11,11,1
23,111005,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа №5 с углубленным изучением английского языка» города Азнакаево Азнакаевского муниципального района Республики Татарстан,"МБОУ ""СОШ №5"" г.Азнакаево"" Азнакаевского муниципального района",3,11,11,1
24,111006,"муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №6 г. Азнакаево» Азнакаевского муниципального района Республики Татарстан",МБОУ «СОШ №6 г. Азнакаво» Азнакаевского муниципального района РТ,3,11,11,1
25,111007,"«Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №7 города Азнакаево"" Азнакаево» Азнакаевского муниципального района Республики Татарстан",МБОУ «СОШ №7 г. Азнакаево» Азнакаевского муниципального района РТ,3,11,11,1
26,111008,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №8 г. Азнакаево» Республики Татарстан","МБОУ ""СОШ №8 г. Азнакаево"" Азнакаевского муниципального района РТ",3,11,11,1
27,111009,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №9 города Азнакаево"" Азнакаевского муниципального района Республики Татарстан","МБОУ ""СОШ №9 г.Азнакаево""Азнакаевского муниципального района РТ",3,11,11,1
28,111011,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №1 п.г.т. Актюбинский"" Азнакаевского муниципального района РТ","МБОУ ""СОШ 1 пгт.Актюбинский"" Азнакаевского муниципального района РТ",3,11,11,1
29,111012,"Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 2 пгт Актюбинский "" Азнакаевского муниципального района Республики Татарстан",МБОУ «СОШ№2 пгт Актюбинский» Азнакаевского муниципального района,3,11,11,0
30,113001,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа № 1 города Азнакаево"" Азнакаевского муниципального района Республики Татарсан","МБОУ «СОШ №1 г.Азнакаево"" Азнакаевского муниципального района РТ",3,11,11,1
31,113010,"Муниципальное бюджетное общеобразовательное учреждение ""Гимназия города Азнакаево"" Азнакаевского муниципального района Республики Татарстан","МБОУ «Гимназия города Азнакаево"" Азнакаевского муниципального района РТ",3,11,11,1
32,113013,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №3 поселка городского типа Актюбинский"" Азнакаевского муниципального района Республики Татарстан",МБОУ «Средняя общеобразовательная школа №3 пгт. Актюбинский» Азнакаевского муниципального района РТ,3,11,11,1
33,114018,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа поселка Победа"" Азнакаевского муниципального района Республики Татарстан","МБОУ ""СОШ п. Победа"" Азнакаевского муниципального района РТ",3,11,11,0
34,114020,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа села Какре-Елга"" Азнакаевского муниципального района Республики Татарстан","МБОУ ""СОШ с.Какре-Елга"" Азнакаевского муниципального района РТ",3,11,11,0
35,114023,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа с. Мальбагуш"" Азнакаевского муниципального района Республики Татарстан","МБОУ ""СОШ с. Мальбагуш"" Азнакаевского муниципального района РТ",3,11,11,0
36,114025,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа села Сарлы» Азнакаевского муниципального района Республики Татарстан»,"МБОУ ""СОШ с.Сарлы""Азнакаевского муниципального района РТ",3,11,11,0
37,114026,"Муниципальное бюджетное общеобразовательное учреждение «Основная общеобразовательная школа села Большой Сухояш""» Азнакаевского муниципального района Республики Татарстан","МБОУ «ООШ с.Большой Сухояш""»",2,11,11,0
38,114028,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа села Тумутук"" Азнакаевского муниципального района Республики Татарстан","МБОУ ""СОШ с.Тумутук"" Азнакаевского муниципального района РТ",3,11,11,0
39,114030,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа села Урманаево"" Азнакаевского муниципального района РТ","МБОУ ""СОШ с. Урманаево"" Азнакаевского муниципального района РТ",3,11,11,0
40,114032,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа села Урсаево"" Азнакаевского муниципального района Республики Татарстан",МБОУ «СОШ с.Урсаево» Азнакаевского муниципального района РТ,3,11,11,0
41,114034,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа села Чубар - Абдуллово» Азнакаевского муниципального района Республики Татарстан,"МБОУ ""СОШ с.Чубар-Абдуллово"" Азнакаевского муниципального района РТ",3,11,11,0
42,114035,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа села Чалпы» Азнакаевского муниципального района Республики Татарстан,"МБОУ ""СОШ с.Чалпы"" Азнакаевского муниципального района РТ",3,11,11,0
43,114036,Государственное автономное профессиональное образовательное учреждение «Азнакаевский политехнический техникум»,"ГАПОУ ""АПТ""",3,11,11,0
44,121001,"Муниципальное бюджетное общеобразовательное учреждение ""Аксубаевская средняя общеобразовательная школа №1 имени В. Г. Тимирясова"" Аксубаевского муниципального района Республики Татарстан","МБОУ ""Аксубаевская СОШ №1 им. В.Г.Тимирясова""",3,12,12,0
45,121002,"Муниципальное бюджетное общеобразовательное учреждение ""Аксубаевская средняя общеобразовательная школа №2"" Аксубаевского муниципального района Республики Татарстан","МБОУ ""Аксубаевская СОШ №2""",3,12,12,0
46,121003,"Муниципальное бюджетное общеобразовательное учреждение ""Аксубаевская средняя общеобразовательная школа №3"" Аксубаевского муниципального района Республики Татарстан","МБОУ ""Аксубаевская СОШ №3""",3,12,12,0
47,122004,"Муниципальное бюджетное общеобразовательное учреждение ""Староильдеряковская средняя общеобразовательная школа"" Аксубаевского муниципального района Республики Татарстан","МБОУ ""Староильдеряковская СОШ""",3,12,12,0
48,122005,"Муниципальное бюджетное общеобразовательное учреждение ""Старомокшинская средняя общеобразовательная школа имени В.Ф.Тарасова"" Аксубаевского муниципального района Республики Татарстан","МБОУ ""СМСОШ имени В.Ф.Тарасова""",3,12,12,0
49,122006,"Муниципальное бюджетное общеобразовательное учреждение ""Савгачевская средняя общеобразовательная школа"" Аксубаевского муниципального района Республики Татарстан","МБОУ ""Савгачевская СОШ""",3,12,12,0
50,122007,"Муниципальное бюджетное общеобразовательное учреждение ""Сунчелеевская средняя общеобразовательная школа им. академика Н.Т.Саврукова"" Аксубаевского муниципального района Республики Татарстан","МБОУ ""Сунчелеевская СОШ им. академика Н.Т.Саврукова""",3,12,12,0
51,122008,"Муниципальное бюджетное общеобразовательное учреждение ""Старотимошкинкая средняя общеобразовательная школа"" Аксубаевского муниципального района Республики Татарстан","МБОУ ""Старотимошкинкая СОШ""",3,12,12,0
52,122009,"Муниципальное бюджетное общеобразовательное учреждение ""Кривоозерская средняя общеобразовательная школа имени Героя Советского Союза Г.Г. Романова"" Аксубаевского муниципального района Республики Татарстан","МБОУ ""Кривоозерская СОШ им. Г.Г. Романова""",3,12,12,0
53,122010,"Муниципальное бюджетное образовательное учреждение ""Емелькинская средняя общеобразовательная школа"" Аксубаевского муниципального рйона Республики Татарстан","МБОУ ""Емелькинская СОШ""",3,12,12,0
54,122011,"Муниципальное бюджетное общеобразовательное учреждение ""Чувенорускинская основная общеобразовательная школа"" Аксубаевского муниципального района Республики Татарстан","МБОУ ""Чувенорускинская ООШ""",3,12,12,0
55,122012,"Муниципальное бюджетное общеобразовательное учреждение ""Старосаврушская основная общеобразовательная школа"" Аксубаевского муниципального района Республики Татарстан","МБОУ ""Старосаврушская ООШ""",2,12,12,0
56,122013,"Муниципальное бюджетное общеобразовательное учреждение ""Новотимошкинская основная общеобразовательная школа"" Аксубаевского муниципального района Республики Татарстан","МБОУ ""Новотимошкинская ООШ""",2,12,12,0
57,122014,Муниципальное бюджетное общеобразовательное учреждение «Староузеевская средняя общеобразовательная школа» Аксубаевского муниципального района Республики Татарстан,"МБОУ ""Староузеевская СОШ""",3,12,12,0
58,122025,Муниципальное бюджетное общеобразовательное учреждение «Новоаксубаевская начальная общеобразовательная школа» Аксубаевского муниципального района Республики Татарстан,"МБОУ ""Новоаксубаевская НОШ""",1,12,12,0
59,122029,Муниципальное бюджетное общеобразовательное учреждение «Русскокиреметская начальная общеобразовательная школа-детский сад» Аксубаевского муниципального района РТ,"МБОУ ""Русскокиреметская НОШ-ДС""",1,12,12,0
60,122030,"Муниципальное бюджетное общеобразовательное учреждение ""Нижнебаландинская начальная общеобразовательная школа-детский сад"" Аксубаевского муниципального района Республики Татарстан","МБОУ ""Нижнебаландинская НОШ – детский сад""",1,12,12,0
61,122031,Муниципальное бюджетное общеобразовательное учреждение «Урмандеевская начальная общеобразовательная школа-детский сад» Аксубаевского муниципального района Республики Татарстан,"МБОУ ""Урмандеевская НОШ-ДС""",1,12,12,0
62,124015,"Муниципальное бюджетное общеобразовательное учреждение ""Новоибрайкинская средняя общеобразовательная школа имени М.И.Абдрахманова"" Аксубаевского муниципального района Республики Татарстан","МБОУ ""Новоибрайкинская СОШ""",3,12,12,0
63,124016,"Муниципальное бюджетное общеобразовательное учреждение ""Староибрайкинская средняя общеобразовательная школа Аксубаевского муниципального района Республики Татарстан""","МБОУ ""Староибрайкинская СОШ""",3,12,12,0
64,124017,Муниципальное бюджетное общеобразовательное учреждение «Старокиязлинская основная общеобразовательная школа» Аксубаевского муниципального района РТ,"МБОУ ""Старокиязлинская ООШ""",3,12,12,0
65,124018,Муниципальное бюджетное общеобразовательное учреждение «Новодёмкинская основная общеобразовательная школа имени Назипа Думави» Аксубаевского муниципального района Республики Татарстан,"МБОУ ""Новодемкинская ООШ""",2,12,12,0
66,124019,Муниципальное бюджетное общеобразовательное учреждение «Щербенская начальная общеобразовательная школа» Аксубаевского муниципального района Республики Татарстан,"МБОУ ""Щербенская НОШ""",1,12,12,0
67,124020,Муниципальное бюджетное общеобразовательное учреждение «Новоузеевская основная общеобразовательная школа» Аксубаевского муниципального района Республики Татарстан,"МБОУ ""Новоузеевская ООШ""",2,12,12,0
68,124021,Муниципальное бюджетное общеобразовательное учреждение «Карасинская основная общеобразовательная школа имени Шарафутдинова З.Т.» Аксубаевского муниципального района Республики Татарстан,"МБОУ ""Карасинская ООШ им. Шарафутдинова З.Т.""",3,12,12,0
69,124022,"Муниципальное бюджетное общеобразовательное учреждение ""Нижнетатмайнская СОШ""","МБОУ ""Нижнетатмайнская СОШ""",3,12,12,0
70,124026,"Муниципальное бюджетное общеобразовательное учреждение ""Тахталинская НОШ""","МБОУ ""Тахталинская НОШ""",1,12,12,0
71,124027,"Муниципальное бюджетное общеобразовательное учреждение ""Новокиреметская НОШ""","МБОУ ""Новокиреметская НОШ""",1,12,12,0
72,132007,"Муниципальное бюджетное общеобразовательное учреждение ""Мари-Суксинская основная общеобразовательная школа"" Актанышского муниципального района Республики Татарстан","МБОУ ""Мари-Суксинская ООШ""",2,13,13,0
73,132013,Государственное бюджетное общеобразовательное учреждение «Актанышская кадетская школа-интернат имени Героя Советского Союза Хасана Заманова»,"ГБОУ ""Актанышская КШИ""",3,13,13,0
74,134001,"Муниципальное бюджетное общеобразовательное учреждение ""Актанышская средняя общеобразовательная школа №1"" Актанышского муниципального района Республики Татарстан","МБОУ ""Актанышская СОШ №1""",3,13,13,0
75,134002,"Муниципальное бюджетное общеобразовательное учреждение ""Актанышская средняя общеобразовательная школа №2 с углубленным изучением отдельных предметов"" Актанышского муниципального района Республики Татарстан","МБОУ ""Актанышская СОШ №2 с углубленным изучением отдельных предметов""",3,13,13,0
76,134003,"Государственное автономное общеобразовательное учреждение ""Гуманитарная гимназия-интернат для одаренных детей""","ГАОУ ""Гуманитарная гимназия-интернат для одаренных детей""",3,13,13,0
77,134004,"Муниципальное бюджетное общеобразовательное учреждение ""Байсаровская основная общеобразовательная школа"" Актанышского муниципального района Республики Татарстан","МБОУ ""Байсаровская ООШ""",2,13,13,0
78,134005,"Муниципальное бюджетное общеобразовательное учреждение ""Бугадинская основная общеобразовательная школа"" Актанышского муниципального района Республики Татарстан","МБОУ ""Бугадинская ООШ""",2,13,13,0
79,134006,"Муниципальное бюджетное общеобразовательное учреждение ""Кировская средняя общеобразовательная школа"" Актанышского муниципального района Республики Татарстан","МБОУ ""Кировская СОШ""",3,13,13,0
80,134008,"Муниципальное бюджетное общеобразовательное учреждение ""Сафаровская средняя общеобразовательная школа ""","МБОУ ""Сафаровская СОШ""",3,13,13,0
81,134009,"Муниципальное бюджетное основное общеобразовательное учреждение ""Старокурмашевская основная общеобразовательная школа"" Актанышского муниципального района Республики Татарстан","МБОУ ""Старокурмашевская ООШ""",2,13,13,0
82,134010,"Муниципальное бюджетное общеобразовательное учреждение ""Поисевская СОШ""","МБОУ ""Поисевская СОШ""",3,13,13,0
83,134011,"Муниципальное бюджетное общеобразовательное учреждение ""Татарско-Суксинская основная общеобразовательная школа"" Актанышского муниципального района Республики Татарстан","МБОУ ""Татарско-Суксинская ООШ""",2,13,13,0
84,134012,"Муниципальное бюджетное общеобразовательное учреждение ""Такталачукская основная общеобразовательная школа"" Актанышского муниципального района Республики Татарстан","МБОУ ""Такталачукская ООШ""",2,13,13,0
85,134017,Муниципальное бюджетное общеобразовательное учреждение «Аккузовская основная общеобразовательная школа» Актанышского муниципального района Республики Татарстан,"МБОУ ""Аккузовская ООШ""",2,13,13,0
86,134018,"Муниципальное бюджетное общеобразовательное учреждение ""Атясевская основная общеобразовательная школа""","МБОУ ""Атясевская ООШ""",2,13,13,0
87,134020,"Муниципальное бюджетное общеобразовательное учреждение ""Верхнеяхшеевская основная общеобразовательная школа""Актанышского муниципального района Республики Татарстан","МБОУ ""Верхнеяхшеевская ООШ""",2,13,13,0
88,134023,"Муниципальное бюджетное общеобразовательное учреждение ""Кузякинская основная общеобразовательная школа"" Актанышского муниципального района Республики Татарстан","МБОУ ""Кузякинская ООШ""",2,13,13,0
89,134024,"Муниципальное бюджетное общеобразовательное учреждение ""Минняровская основная общеобразовательная школа"" Актанышского муниципального района Республики Татарстан","МБОУ ""Минняровская ООШ""",2,13,13,0
90,134025,Муниципальное бюджетное общеобразовательное учреждение «Новоалимовская основная общеобразовательная школа» Актанышского муниципального района Республики Татарстан,"МБОУ ""Новоалимовская ООШ""",2,13,13,0
91,134028,"Муниципальное бюджетное общеобразовательное учреждение ""Татарско-Ямалинская основная общеобразовательная школа"" Актанышского муниципального района Республики Татарстан","МБОУ ""Татарско-Ямалинская ООШ""",2,13,13,0
92,134029,Муниципальное бюджетное общеобразовательное учреждение «Тлякеевская основная общеобразовательная школа» Актанышского муниципального района Республики Татарстан,"МБОУ ""Тлякеевская ООШ""",2,13,13,0
93,134032,"Муниципальное бюджетное общеобразовательное учреждение ""Чалманаратская основная общеобразовательная школа"" Актанышского муниципального района Республики Татарстан","МБОУ ""Чалманаратская ООШ""",2,13,13,0
94,134033,"Муниципальное бюджетное общеобразовательное учреждение ""Чуракаевская основная общеобразовательная школа"" Актанышского муниципального района Республики Татарстан","МБОУ ""Чуракаевская ООШ""",2,13,13,0
95,141001,"Муниципальное бюджетное общеобразовательное учреждение ""Алексеевская средняя общеобразовательная школа №1 имени Александры Андреевны Малафеевой"" Алексеевского муниципального района Республики Татарстан","МБОУ ""Алексеевская СОШ №1""",3,14,14,0
96,141002,Муниципальное бюджетное общеобразовательное учреждение «Алексеевская средняя общеобразовательная школа № 2 имени Героя Советского Союза Ивана Егоровича Кочнева Алексеевского муниципального района Республики Татарстан»,"МБОУ ""Алексеевская СОШ №2""",3,14,14,0
97,141003,Муниципальное бюджетное общеобразовательное учреждение Алексеевская средняя общеобразовательная школа №3 им. Г.С. Боровикова Алексеевского муниципального района Республики Татарстан,МБОУ АСОШ №3 им. Г.С. Боровикова,3,14,14,0
98,141027,Муниципальное бюджетное общеобразовательное учреждение «Алексеевская начальная общеобразовательная школа №4» Алексеевского муниципального района Республики Татарстан,"МБОУ ""Алексеевская начальная общеобразовательная школа №4""",1,14,14,0
99,142005,Муниципальное бюджетное общеобразовательное учреждение «Ялкынская основная общеобразовательная школа» Алексеевского муниципального района Республики Татарстан,"МБОУ ""Ялкынская ООШ""",2,14,14,0
100,142006,"Муниципальное бюджетное общеобразовательное учреждение ""Чувашскомайнская основная общеобразовательная школа"" Алексеевского муниципального района Республики Татарстан","МБОУ ""Чувашскомайнская ООШ""",3,14,14,0
101,142007,"Муниципальное бюджетное общеобразовательное учреждение ""Шаминская основная общеобразовательная школа"" Алексеевского муниципального района Республики Татарстан","МБОУ ""Шаминская ООШ""",2,14,14,0
102,142010,Муниципальное бюджетное общеобразовательное учреждение Реченская основная общеобразовательная школа Алексеевского муниципального района Республики Татарстан,МБОУ Реченская ООШ,2,14,14,0
103,142011,Муниципальное бюджетное общеобразовательное учреждение Родниковская средняя общеобразовательная школа Алексеевского муниципального района Республики Татарстан,МБОУ Родниковская СОШ,3,14,14,0
104,142012,Муниципальное бюджетное общеобразовательное учреждение Ромодановская средняя общеобразовательная школа Алексеевского муниципального района Республики Татарстан,МБОУ Ромодановская СОШ,3,14,14,0
105,142014,Муниципальное бюджетное общеобразовательное учреждение Мокрокурналинская средняя общеобразовательная школа Алексеевского муниципального района РТ,МБОУ Мокрокурналинская СОШ,3,14,14,0
106,142015,"Муниципальное бюджетное общеобразовательное учреждение ""Лебединская основная общеобразовательная школа"" Алексеевского муниципального района Республики Татарстан","МБОУ ""Лебединская ООШ""",3,14,14,0
107,142016,"Муниципальное бюджетное общеобразовательное учреждение ""Левашевская основная общеобразовательная школа "" Алексеевского муниципального района Республики Татарстан","МБОУ ""Левашевская ООШ""",2,14,14,0
108,142018,Муниципальное бюджетное общеобразовательное учреждение Куркульская средняя общеобразовательная школа Алексеевского муниципального района Республики Татарстан,МБОУ Куркульская СОШ,3,14,14,0
109,142019,Муниципальное бюджетное общеобразовательное учреждение «Ерыклинская основная общеобразовательная школа» Алексеевского муниципального района Республики Татарстан,"МБОУ ""Ерыклинская ООШ""",2,14,14,0
110,142022,Муниципальное бюджетное общеобразовательное учреждение «Большеполянская основная общеобразовательная школа» Алексеевского муниципального района Республики Татарстан,"МБОУ ""Большеполянская ООШ""",3,14,14,0
111,142023,Муниципальное бюджетное общеобразовательное учреждение «Билярская средняя общеобразовательная школа» Алексеевского муниципального района Республики Татарстан,"МБОУ ""Билярская СОШ""",3,14,14,0
112,142024,"Муниципальное бюджетное общеобразовательное учреждение ""Сахаровская основная общеобразовательная школа"" Алексеевского муниципального района Республики Татарстан","МБОУ ""Сахаровская ООШ""",2,14,14,0
